timestamp,symbol,side,entry_price,quantity,sl_price,tp_price,leverage,strategy,status,pnl,note
2026-03-02T02:58:35.405567+00:00,RIVERUSDT,BUY,0.0,0.7,,,,,NEW,,
2026-03-02T02:58:59.278794+00:00,RIVERUSDT,BUY,0.0,0.7,,,,,NEW,,
2026-03-02T02:59:23.174146+00:00,RIVERUSDT,BUY,0.0,0.7,,,,,NEW,,
2026-03-02T02:59:47.021928+00:00,RIVERUSDT,BUY,0.0,0.7,,,,,NEW,,
2026-03-02T03:09:52.267023+00:00,POWERUSDT,SELL,0.0,5.0,,,,,NEW,,
2026-03-02T03:19:35.509965+00:00,SUIUSDT,BUY,0.0,11.0,,,,,NEW,,
2026-03-02T03:20:00.461404+00:00,SUIUSDT,BUY,0.0,11.0,,,,,NEW,,
2026-03-02T03:27:59.612041+00:00,ZECUSDT,BUY,0.0,0.045,,,,,NEW,,
2026-03-02T03:28:23.583618+00:00,ZECUSDT,BUY,0.0,0.045,,,,,NEW,,
2026-03-02T03:28:47.551177+00:00,ZECUSDT,BUY,0.0,0.045,,,,,NEW,,
2026-03-02T03:29:11.569968+00:00,ZECUSDT,BUY,0.0,0.045,,,,,NEW,,
2026-03-02T03:29:35.503122+00:00,ZECUSDT,BUY,0.0,0.045,,,,,NEW,,
2026-03-02T03:29:59.214326+00:00,1000PEPEUSDT,BUY,0.0,2869.0,,,,,NEW,,
2026-03-02T03:30:00.993700+00:00,ZECUSDT,BUY,0.0,0.045,,,,,NEW,,
2026-03-02T04:19:15.347161+00:00,1000PEPEUSDT,SELL,0.0,2889.0,,,,,NEW,,
2026-03-02T04:19:39.335257+00:00,1000PEPEUSDT,SELL,0.0,2891.0,,,,,NEW,,
2026-03-02T04:20:03.472248+00:00,1000PEPEUSDT,SELL,0.0,2894.0,,,,,NEW,,
2026-03-02T05:01:29.623754+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:01:53.573070+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:02:17.502000+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:02:41.497437+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:03:05.532815+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:03:29.460640+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:03:53.533619+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:04:17.524038+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:04:40.592166+00:00,BNBUSDT,SELL,0.0,0.01,,,,,NEW,,
2026-03-02T05:04:42.851467+00:00,SUIUSDT,SELL,0.0,11.0,,,,,NEW,,
2026-03-02T05:18:23.253921+00:00,ARCUSDT,BUY,0.0,241.0,,,,,NEW,,
2026-03-02T05:18:24.766518+00:00,SAHARAUSDT,BUY,0.0,409.0,,,,,NEW,,
2026-03-02T05:18:48.572426+00:00,ARCUSDT,BUY,0.0,240.0,,,,,NEW,,
2026-03-02T05:18:49.934254+00:00,SAHARAUSDT,BUY,0.0,408.0,,,,,NEW,,
2026-03-02T05:19:13.681436+00:00,ARCUSDT,BUY,0.0,240.0,,,,,NEW,,
2026-03-02T05:19:15.051691+00:00,SAHARAUSDT,BUY,0.0,407.0,,,,,NEW,,
2026-03-02T05:19:38.766828+00:00,ARCUSDT,BUY,0.0,240.0,,,,,NEW,,
2026-03-02T05:19:40.128393+00:00,SAHARAUSDT,BUY,0.0,406.0,,,,,NEW,,
2026-03-02T05:20:04.049599+00:00,ARCUSDT,BUY,0.0,240.0,,,,,NEW,,
2026-03-02T05:20:05.416973+00:00,SAHARAUSDT,BUY,0.0,407.0,,,,,NEW,,
2026-03-02T08:51:08.688926+00:00,SOLUSDT,BUY,0.0,0.29,,,,,NEW,,
2026-03-02T08:51:33.666459+00:00,ZECUSDT,BUY,0.0,0.116,,,,,NEW,,
2026-03-02T08:53:05.980308+00:00,DOGEUSDT,BUY,0.0,271.0,,,,,NEW,,
2026-03-02T08:53:08.313496+00:00,ZECUSDT,BUY,0.0,0.116,,,,,NEW,,
2026-03-02T08:54:41.255214+00:00,DOGEUSDT,BUY,0.0,271.0,,,,,NEW,,
2026-03-02T08:54:43.574541+00:00,ZECUSDT,BUY,0.0,0.116,,,,,NEW,,
2026-03-02T08:57:48.789955+00:00,HYPEUSDT,BUY,0.0,0.81,,,,,NEW,,
2026-03-02T08:59:00.534463+00:00,1000PEPEUSDT,BUY,0.0,7280.0,,,,,NEW,,
2026-03-03T02:19:22.176922+00:00,SIRENUSDT,SELL,0.0,59.0,,,,,NEW,,
2026-03-03T02:24:56.056158+00:00,SIRENUSDT,SELL,0.0,58.0,,,,,NEW,,
2026-03-03T02:39:14.950181+00:00,ARCUSDT,BUY,0.0,478.0,,,,,NEW,,
2026-03-03T06:39:33.490944+00:00,BTCUSDT,SELL,67894.2,0.053,,,,,FILLED,,
2026-03-03T06:39:33.502100+00:00,BTCUSDT,SELL,67894.2,0.05354525301535249,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T07:17:14.158315+00:00,ETHUSDT,SELL,1999.76,0.034,,,,,FILLED,,
2026-03-03T07:17:14.158573+00:00,ETHUSDT,SELL,1999.76,0.034,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T07:17:35.311753+00:00,ETHUSDT,SELL,1998.8,0.014,,,,,FILLED,,
2026-03-03T07:17:35.312478+00:00,ETHUSDT,SELL,1998.8,0.014,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T07:40:10.240143+00:00,ETHUSDT,SELL,1993.67,0.027,,,,,FILLED,,
2026-03-03T07:40:10.240785+00:00,ETHUSDT,SELL,1993.67,0.027,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T08:14:42.581781+00:00,ETHUSDT,SELL,1983.51,0.938,,,,,FILLED,,
2026-03-03T08:14:42.592154+00:00,ETHUSDT,SELL,1983.51,0.938,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T08:18:14.229636+00:00,ETHUSDT,SELL,1990.66,0.876,,,,,FILLED,,
2026-03-03T08:18:14.230214+00:00,ETHUSDT,SELL,1990.66,0.876,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T13:05:21.550499+00:00,ETHUSDT,SELL,1953.68,1.535,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T13:06:23.533398+00:00,ETHUSDT,SELL,1958.27,1.468,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T13:07:46.184318+00:00,ETHUSDT,SELL,1956.11,1.459,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T13:15:20.638410+00:00,BTCUSDT,SELL,66998.9,0.03,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:24:52.550649+00:00,BTCUSDT,SELL,67171.3,0.057,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:33:26.848552+00:00,BTCUSDT,SELL,66895.6,0.047,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:33:47.865230+00:00,BTCUSDT,SELL,66813.6,0.046,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:33:48.739652+00:00,ETHUSDT,SELL,1951.16,0.621,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:38:26.844873+00:00,BTCUSDT,SELL,67099.9,0.04,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:39:09.465698+00:00,ETHUSDT,SELL,1963.54,0.571,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:41:17.828588+00:00,BTCUSDT,SELL,66739.7,0.032,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:42:23.287942+00:00,ETHUSDT,SELL,1943.31,0.66,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:42:44.589127+00:00,BTCUSDT,SELL,66489.7,0.039,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:42:45.530630+00:00,ETHUSDT,SELL,1936.42,0.577,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:44:32.495882+00:00,BTCUSDT,SELL,66357.0,0.013,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
2026-03-03T14:44:54.854920+00:00,ETHUSDT,SELL,1937.0,0.843,,,,trend_ema_fast_slow + ema200 + rsi,FILLED,,
